,dataset,generator,metric_name,value
232,bbb_martins_25,jtnn,unlabelled_graph_cycle_distance,103.40416603746355
233,bbb_martins_25,jtnn,unlabelled_graph_cycle_distance_time,77.69292569160461
234,bbb_martins_25,jtnn,cycle_distance,17.890174694691993
235,bbb_martins_25,jtnn,cycle_distance_time,76.20296025276184
236,bbb_martins_25,jtnn,neighborhood_distance,114.28667315675756
237,bbb_martins_25,jtnn,neighborhood_distance_time,105.02991080284119
238,bbb_martins_25,jtnn,neighborhood_distance_r=2,60.94279904099971
239,bbb_martins_25,jtnn,neighborhood_distance_r=2_time,160.92300295829773
240,bbb_martins_33,hiervae,node_edge_distance,24.42089438438182
241,bbb_martins_33,hiervae,node_edge_distance_time,147.25070667266846
242,bbb_martins_33,hiervae,unlabelled_graph_cycle_distance,16.662736269516007
243,bbb_martins_33,hiervae,unlabelled_graph_cycle_distance_time,107.92350721359253
244,bbb_martins_33,hiervae,cycle_distance,27.75098245029617
245,bbb_martins_33,hiervae,cycle_distance_time,105.19733572006226
246,bbb_martins_33,hiervae,neighborhood_distance,47.42895826445661
247,bbb_martins_33,hiervae,neighborhood_distance_time,142.3269395828247
248,bbb_martins_33,hiervae,neighborhood_distance_r=2,64.7663772563547
249,bbb_martins_33,hiervae,neighborhood_distance_r=2_time,217.65028858184814
250,bbb_martins_33,moflow,node_edge_distance,60.44646290780271
251,bbb_martins_33,moflow,node_edge_distance_time,138.13343596458435
252,bbb_martins_33,moflow,unlabelled_graph_cycle_distance,434.03322201753474
253,bbb_martins_33,moflow,unlabelled_graph_cycle_distance_time,97.89489221572876
254,bbb_martins_33,moflow,cycle_distance,278.0750121850062
255,bbb_martins_33,moflow,cycle_distance_time,99.1241807937622
256,bbb_martins_33,moflow,neighborhood_distance,117.89221632257889
257,bbb_martins_33,moflow,neighborhood_distance_time,130.62207317352295
258,bbb_martins_33,moflow,neighborhood_distance_r=2,234.26531774051114
259,bbb_martins_33,moflow,neighborhood_distance_r=2_time,207.01204633712769
260,bbb_martins_33,wgan,node_edge_distance,910.4261755323566
261,bbb_martins_33,wgan,node_edge_distance_time,121.38075137138367
262,bbb_martins_33,wgan,unlabelled_graph_cycle_distance,275.8064694197038
263,bbb_martins_33,wgan,unlabelled_graph_cycle_distance_time,88.81778407096863
264,bbb_martins_33,wgan,cycle_distance,459.72755251526
265,bbb_martins_33,wgan,cycle_distance_time,83.93381381034851
266,bbb_martins_33,wgan,neighborhood_distance,272.45354935279875
267,bbb_martins_33,wgan,neighborhood_distance_time,119.46011638641357
268,bbb_martins_33,wgan,neighborhood_distance_r=2,100.15941741196255
269,bbb_martins_33,wgan,neighborhood_distance_r=2_time,182.0277862548828
270,bbb_martins_33,stgg,node_edge_distance,16.595593514444108
271,bbb_martins_33,stgg,node_edge_distance_time,200.04679441452026
272,bbb_martins_33,stgg,unlabelled_graph_cycle_distance,17.513308665188642
273,bbb_martins_33,stgg,unlabelled_graph_cycle_distance_time,143.44937705993652
274,bbb_martins_33,stgg,cycle_distance,1.8518853183979906
275,bbb_martins_33,stgg,cycle_distance_time,140.74284720420837
276,bbb_martins_33,stgg,neighborhood_distance,32.903001190101826
277,bbb_martins_33,stgg,neighborhood_distance_time,191.3232843875885
278,bbb_martins_33,stgg,neighborhood_distance_r=2,30.205202920372976
279,bbb_martins_33,stgg,neighborhood_distance_r=2_time,296.28519105911255
280,bbb_martins_33,gdss,node_edge_distance,183.3314677838833
281,bbb_martins_33,gdss,node_edge_distance_time,143.22822284698486
282,bbb_martins_33,gdss,unlabelled_graph_cycle_distance,221.35339787314436
283,bbb_martins_33,gdss,unlabelled_graph_cycle_distance_time,103.09344220161438
284,bbb_martins_33,gdss,cycle_distance,185.79880168992977
285,bbb_martins_33,gdss,cycle_distance_time,105.52131223678589
286,bbb_martins_33,gdss,neighborhood_distance,206.6825118673858
